"","Title","Year","Genre","Plot","Actors","imdbRating"
"1","The Godfather",1972,"Crime, Drama","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","Marlon Brando, Al Pacino, James Caan, Richard S. Castellano","9.2"
"2","The Godfather: Part II",1974,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro","9.0"
"3","The Dark Knight",2008,"Action, Crime, Drama, Thriller","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","9.0"
"4","Forrest Gump",1994,"Drama, Romance","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys","8.8"
"5","Fight Club",1999,"Drama","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier","8.8"
"6","Inception",2010,"Action, Adventure, Sci-Fi, Thriller","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","8.8"
"7","Goodfellas",1990,"Biography, Crime, Drama","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco","8.7"
"8","Se7en",1995,"Crime, Drama, Mystery, Thriller","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt","8.6"
"9","The Green Mile",1999,"Crime, Drama, Fantasy, Mystery","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan","8.6"
"10","Saving Private Ryan",1998,"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper","8.6"
"11","Joker",2019,"Crime, Drama, Thriller","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy","8.6"
"12","Gladiator",2000,"Action, Adventure, Drama","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","8.5"
"13","The Departed",2006,"Crime, Drama, Thriller","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","8.5"
"14","The Prestige",2006,"Drama, Mystery, Sci-Fi, Thriller","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo","8.5"
"15","Avengers: Infinity War",2018,"Action, Adventure, Sci-Fi","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","8.5"
"16","Avengers: Endgame",2019,"Action, Adventure, Drama, Sci-Fi","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","8.5"
"17","The Dark Knight Rises",2012,"Action, Thriller","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","8.4"
"18","Django Unchained",2012,"Drama, Western","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","8.4"
"19","Scarface",1983,"Crime, Drama","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio","8.3"
"20","Toy Story",1995,"Animation, Adventure, Comedy, Family, Fantasy","A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","Tom Hanks, Tim Allen, Don Rickles, Jim Varney","8.3"
"21","Snatch",2000,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt","8.3"
"22","Inglourious Basterds",2009,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth","8.3"
"23","Toy Story 3",2010,"Animation, Adventure, Comedy, Family, Fantasy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty","8.3"
"24","Raging Bull",1980,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","8.2"
"25","Die Hard",1988,"Action, Thriller","An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.","Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason","8.2"
"26","Casino",1995,"Crime, Drama","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","Robert De Niro, Sharon Stone, Joe Pesci, James Woods","8.2"
"27","Heat",1995,"Crime, Drama, Thriller","A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight","8.2"
"28","L.A. Confidential",1997,"Crime, Drama, Mystery, Thriller","As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell","8.2"
"29","A Beautiful Mind",2001,"Biography, Drama","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","8.2"
"30","Batman Begins",2005,"Action, Adventure","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes","8.2"
